index,word,mean,weight,last_attempt_date,t,s,forget_times,probability
0,abase,降低（地位、职位、威望或尊严）：lower,0,04/12/2020,0,0,0,0
1,abash,使尴尬，使羞愧：self-confidence，embarrass,0,04/12/2020,0,0,0,0
2,abate,减轻（程度或者强度）：reduce，degree，intensity；减少（数量），降低（价值）：reduce，amount，value,0,04/12/2020,0,0,0,0
3,abbreviate,v.缩写，缩短：briefer,0,04/12/2020,0,0,0,0
4,abdicate,v.正式放弃（权力、责任）：throne,0,04/12/2020,0,0,0,0
5,aberrant,adj.异常的，非常规的：deviating,0,04/12/2020,0,0,0,0
6,abet,v.帮助，怂恿：assist or support；v.鼓励：encourage,0,04/12/2020,0,0,0,0
7,abeyance,n.终止，搁置：inactivity,0,04/12/2020,0,0,0,0
8,abhor,vt.深恶痛绝，极度厌恶：extreme repugnance,0,04/12/2020,0,0,0,0
9,abiding,永久的：enduring,0,04/12/2020,0,0,0,0
10,abject,adj.无精打采的：spiritless；adj.（地位、身份）悲惨、凄凉的：low state;adj.卑微的，讨好的：humble,0,04/12/2020,0,0,0,0
11,abjure,"v.发誓放弃:rejecting,abandoning;v.抵制避免:resist",0,04/12/2020,0,0,0,0
12,abnegate,否认：deny，renounce；投降，放弃，交出（权力等）：surrender，relinquish,0,04/12/2020,0,0,0,0
13,abominate,憎恶：abhor,0,04/12/2020,0,0,0,0
14,aboveboard,无欺诈的，光明正大的：free from，deceit or duplicity,0,04/12/2020,0,0,0,0
15,abrade,"磨损，精神上的折磨：wear away, by friction",0,04/12/2020,0,0,0,0
16,abridge,缩短，缩小：shorten；在不改变本意的条件下删减词语，缩写：shorten,0,04/12/2020,0,0,0,0
17,abrogate,官方的正式废除：annul；无视（某事的）存在：nonexistent,0,04/12/2020,0,0,0,0
18,abscond,偷偷离开：depart secretly,0,04/12/2020,0,0,0,0
19,absolute,"专制的：unconstrained; 无限的unqualified; 完美的，纯净不惨杂的：free from imperfection, mixture; 不容置疑的，确凿的：unquestionable",0,04/12/2020,0,0,0,0
20,absolve,"使无罪，解除责任：free from, guilt, exculpate",0,04/12/2020,0,0,0,0
21,abstain,"自我克制，主动戒绝：refrain, by one’s own choice",0,04/12/2020,0,0,0,0
22,abstemious,"（吃喝等）有节制的，节俭的：restraint, food or alcohol, sparing",0,04/12/2020,0,0,0,0
23,abstract,"做总结，概括：abstract, summarize; 使分心：away, attention",0,04/12/2020,0,0,0,0
24,abstruse,难以理解的：recondite,0,04/12/2020,0,0,0,0
25,absurd,不合理的：unreasonable,0,04/12/2020,0,0,0,0
26,abundant,大量的： great plenty,0,04/12/2020,0,0,0,0
27,abuse,辱骂，抨击：condemn or vilify; 不正当的或不合理使用的：wrong or improper use; 过分过量使用的：use excessively,0,04/12/2020,0,0,0,0
28,abut,邻接，毗邻：adjacent,0,04/12/2020,0,0,0,0
29,abysmal,极低的，极可怜的：immeasurably low; （程度）很深的，极端的：immeasurably great,0,04/12/2020,0,0,0,0
30,accede,"赞成：approval, consent; 就任，就职：come into an office",0,04/12/2020,0,0,0,0
31,accelerate,加速：faster; 使提前发生：earlier; 变大，变多：greater,0,04/12/2020,0,0,0,0
32,accessible,可以达到的：within easy reach; 可以理解的：understood; 能够获得的：get,0,04/12/2020,0,0,0,0
33,accessory,"辅助的，附属的：secondary, supplementary, subordinate; 帮凶：one, wrongdoing",0,04/12/2020,0,0,0,0
34,accidental,意外发生的，偶然的：unexpectedly; 附带的，不重要的：not being a vital part,0,04/12/2020,0,0,0,0
35,acclimate,使适应：to change (something) so as to make it suitable,0,04/12/2020,0,0,0,0
36,accolade,同意，赞赏：approval; 赞扬：praise,0,04/12/2020,0,0,0,0
37,accommodate,"提供所需（例如服务、借贷、寄宿）：provide; 改变以适应新情况、新场景：make, suitable;使和谐：free of conflicts",0,04/12/2020,0,0,0,0
38,accost,以挑衅的形式搭讪：challenging or aggressive way,0,04/12/2020,0,0,0,0
39,accrete,"逐渐增长：grow, gradually",0,04/12/2020,0,0,0,0
40,accumulate,逐渐增长：increase gradually,0,04/12/2020,0,0,0,0
41,acerbic,"（心情、心境或者语调）尖酸的：wit, cause hurt feelings",0,04/12/2020,0,0,0,0
42,acme,顶点，极点：highest; 最佳典范：most perfect type,0,04/12/2020,0,0,0,0
43,acquiesce,"勉强同意；默许：accept, tacitly or passively",0,04/12/2020,0,0,0,0
44,acrid,"辛辣的，刺鼻的：harsh, taste, odor; 刻薄的：wit, cause hurt feelings",0,04/12/2020,0,0,0,0
45,acrimonious,刻薄的，充满仇恨的：deep-seated resentment,0,04/12/2020,0,0,0,0
46,acumen,不同寻常的洞察力和鉴别力：exceptional discernment and judgment,0,04/12/2020,0,0,0,0
47,acute,敏锐的：keen discernment; 严重的，急性的：immediate attention; （程度、影响）极强的：extreme,0,04/12/2020,0,0,0,0
48,adamant,"固执的，不可动摇的：unshakable, unyielding, inflexible",0,04/12/2020,0,0,0,0
49,adapt,修改，使（适应）：modify,0,04/12/2020,0,0,0,0
50,addict,"沉溺，上瘾：surrender, obsessively; 对某事上瘾的人：habitual liking",0,04/12/2020,0,0,0,0
51,adhere,依附，粘着：stick; 服从，遵守：according to the commands; 坚定地支持：steadfast support,0,04/12/2020,0,0,0,0
52,adjourn,延期，休会：suspend;,0,04/12/2020,0,0,0,0
53,adjunct,附属物，非必需部分：not essentially a part,0,04/12/2020,0,0,0,0
54,ad-lib,即兴的：without previous thought or preparation,0,04/12/2020,0,0,0,0
55,admonish,建议：give advice; 责备：reprove gently,0,04/12/2020,0,0,0,0
56,adore,喜爱，因···感到愉悦：pleasure; 宠爱：tenderness,0,04/12/2020,0,0,0,0
57,adulate,极度谄媚：praise too much,0,04/12/2020,0,0,0,0
58,adulterate,"掺杂，加入低等成分：impure, addition",0,04/12/2020,0,0,0,0
59,adumbrate,部分地或有保留地揭露：disclose; 预示着：give a slight indication,0,04/12/2020,0,0,0,0
60,adventitious,外来的，后天的，非内在的：not inherent or innate,0,04/12/2020,0,0,0,0
